unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
Australia,17322,17652,18496,19432,20583,21773,22562,23649,24853,26283,27403,28492,29819,31273
Austria,19070,20172,20960,21220,22139,22976,24008,24472,25314,26558,28359,28855,29942,30796
Belgium,18526,19453,20123,20308,21340,22248,22687,23416,24164,24792,26631,28001,29330,30082
Denmark,18237,19070,19829,20199,21691,22693,23781,24878,25669,27113,28798,29837,30318,30853
France,18244,19021,19746,19920,20695,21545,22288,23370,24412,25111,26690,28043,28829,29210
Greece,11405,11971,12198,12166,12566,12991,13418,14127,14665,15213,16272,17332,19119,20479
Italy,17946,18845,19367,19778,20577,21532,22235,22810,23840,24402,25759,26586,27320,27537
Japan,18815,20055,20648,21122,21757,22551,23714,24478,24429,24709,26015,26619,27196,28071
Netherlands,18665,19626,20224,20679,21588,22585,23531,24692,25811,26654,28467,30359,31284,31792
New Zealand,14420,14252,14679,15605,16686,17402,17879,18510,18669,19937,20789,21825,22662,23728
Norway,18004,19212,20185,21088,22534,23874,26263,27776,27294,30011,36273,37078,36617,37245
Portugal,10894,11783,12219,12236,12614,13413,13974,14804,15401,16363,17353,18071,18799,17603
Spain,13365,14152,14564,14699,15325,16032,16720,17420,18479,19817,21074,22257,23756,24812
Switzerland,24518,24840,25141,25427,26031,26485,26394,27850,28835,28887,30461,30806,32751,33516
UK,16397,16681,17069,17845,18975,19860,20923,22280,23206,23959,25583,27026,28969,29609
USA,23064,23507,24509,25409,26670,27574,28814,30262,31519,33028,34603,35341,36180,37548
West Germany,20465,21602,22154,21878,22371,23035,23742,24156,24931,25755,26943,27449,28348,28855
