unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Australia,2373,2346,2539,2717,2873,2973,3230,3404,3788,4162,4490,4677,5013,5595,6024,6683,7140,7482,8272,9174,10203,11513,11537,12300,13120,14019,14537,15554,16524,17255
Austria,1796,1899,1977,2074,2224,2336,2537,2668,2908,3239,3732,4100,4513,4969,5622,6147,6810,7588,8117,9288,10312,11242,12148,13048,13533,14296,14921,15549,16595,17768
Belgium,1782,1883,2018,2122,2288,2414,2559,2719,2958,3308,3797,4129,4512,5039,5707,6146,6854,7326,8056,8921,10156,11079,11827,12334,13113,13735,14292,15013,16209,17345
Denmark,2329,2485,2665,2700,2980,3177,3377,3580,3892,4352,4541,4858,5262,5719,6121,6565,7371,7901,8585,9566,10362,11106,12115,12822,13777,14698,15608,16024,16766,17418
France,1858,1959,2099,2205,2367,2526,2728,2915,3163,3531,3857,4203,4535,5008,5594,6077,6673,7292,8031,8948,9891,10929,11869,12518,13145,13746,14308,14940,16040,17193
Greece,707,1028,1049,1188,1316,1492,1634,1754,1967,2298,2631,2988,3383,3844,3907,4505,5024,5417,6138,6781,7374,7870,8204,8388,8834,9297,9525,9548,10277,11036
Italy,1620,1763,1900,2021,2093,2205,2400,2624,2910,3227,3602,3834,4101,4594,5240,5601,6288,6821,7542,8594,9643,10593,11275,11812,12543,13285,13896,14688,15784,16875
Japan,1010,1143,1262,1374,1546,1647,1889,2133,2496,2917,3293,3575,3988,4491,4778,5300,5768,6344,7084,8027,8931,9986,10813,11346,12064,12978,13590,14425,15862,17269
Netherlands,2113,2111,2275,2360,2566,2739,2874,3078,3399,3951,4342,4705,4984,5475,6165,6699,7345,7959,8676,9504,10458,11304,11784,12419,13234,13938,14613,15197,16082,17387
New Zealand,2545,2659,2713,2866,3001,3224,3481,3360,3489,3969,4136,4438,4780,5335,6041,6382,6748,6867,7301,7915,8656,9736,10687,11262,12141,12556,13085,13402,13569,14124
Norway,1713,1823,1905,1991,2112,2268,2417,2620,2784,3035,3213,3523,3814,4138,4728,5458,6116,6742,7412,8354,9557,10548,11205,12022,13220,14354,15184,15823,16299,17043
Portugal,728,783,848,905,979,1084,1170,1293,1475,1592,1916,2153,2420,2845,3048,3045,3407,3784,4120,4663,5263,5812,6263,6479,6570,6959,7414,8126,9057,10042
Spain,1074,1201,1335,1467,1554,1678,1841,1954,2160,2447,2715,2951,3293,3710,4227,4600,4965,5364,5761,6188,6856,7447,7957,8378,8812,9259,9744,10542,11434,12417
Switzerland,3387,3625,3788,3946,4158,4360,4575,4790,5138,5645,6382,6938,7406,7998,8800,8934,9368,10240,11003,12189,13853,15338,15963,16611,17710,18812,19458,20120,21334,22965
UK,2158,2216,2276,2386,2534,2660,2794,2923,3173,3391,3615,3854,4149,4683,5036,5481,5953,6489,7176,7973,8502,9161,9917,10669,11336,12068,12795,13717,14864,15716
USA,2879,2929,3103,3227,3420,3667,3974,4154,4494,4805,4999,5362,5838,6464,6951,7519,8300,9146,10229,11306,12186,13533,13940,15008,16549,17600,18439,19407,20711,22047
West Germany,2284,2388,2527,2610,2806,3005,3168,3241,3571,3998,4367,4686,5055,5553,6074,6603,7367,8090,8928,10067,11083,12115,12761,13519,14481,15291,15998,16679,17786,18994
