unit,income,retail_price,percent_15-19,beer_consumption
Alabama,9.678973622,89.34444512,17.4801901,18.95999985
Arkansas,9.643623246,89.87777709999999,16.4611373,18.52000008
Colorado,9.984357198,82.62222205,17.3703247,25.08000031
Connecticut,10.18803512,103.47777640000001,16.3659688,20.7
Delaware,9.974561161,90.05555513,17.8224497,26.08000031
Georgia,9.817172262,84.36666658,17.694412699999997,21.75999985
Idaho,9.711300956,86.07777786,15.2016721,22.22000008
Illinois,10.00688288,89.83333249,17.028118,24.74000015
Indiana,9.831646389,81.08888838,17.5089656,21.97999992
Iowa,9.836926672,90.65555615,16.990893699999997,23.23999977
Kansas,9.916982969,87.78888872,17.0582652,19.94000015
Kentucky,9.695040385,71.48888991,17.540008,18.94000015
Louisiana,9.747586568,90.0666665,18.194892199999998,23.87999992
Maine,9.786902746,91.89999898,16.571967,22.44000015
Minnesota,9.938785023,96.28888872,17.2464155,23.12000008
Mississippi,9.546848297,88.92222214,18.149115600000002,21.14000015
Missouri,9.877391073,84.46666675,16.6553891,23.88000069
Montana,9.753027174,85.58888879999999,16.537520999999998,27.87999992
Nebraska,9.850039482,89.48888906,16.8586676,24.71999969
Nevada,10.02443239,93.24444538,16.291776300000002,37.0
New Hampshire,10.00636715,83.39999941,16.9238773,34.95999985
New Mexico,9.708400937999999,87.48888736,17.4311015,27.97999992
North Carolina,9.751609802,71.44444402,17.937109699999997,19.92000008
North Dakota,9.756118351,88.90000068,18.0801443,23.5
Ohio,9.886301253,84.55555513,16.9848301,24.02000008
Oklahoma,9.814118067,90.47777812,16.8725929,18.13999977
Pennsylvania,9.926845233,89.17777803,16.4436671,25.07999992
Rhode Island,9.931006961,90.22222307,17.5420049,25.54000015
South Carolina,9.673460537,76.61111196,18.4413918,22.9
South Dakota,9.702802976000001,88.54444461,17.358986899999998,21.26000023
Tennessee,9.737283919,85.17777846,17.1025995,20.57999992
Texas,9.896063487000001,92.47777854,17.7760008,28.57999992
Utah,9.678585157999999,89.4333335,18.783049899999998,13.33999996
Vermont,9.821148766,88.02222273,17.7342362,27.05999985
Virginia,9.957432535,74.78888914,17.740294300000002,22.99999962
West Virginia,9.65476354,92.58888753,16.4830512,19.80000038
Wisconsin,9.882993592,95.15555784,17.4546391,32.04000015
Wyoming,9.913661109,81.00000042,17.4207053,24.97999992
California,10.07655864,89.42222341,17.3532382,24.28000031
