unit,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Alabama,112.1,105.6,108.6,107.9,109.1,108.5,107.1,102.6,101.4,104.9,106.2,100.7,96.2
Arkansas,121.5,118.3,113.1,116.8,126.0,113.8,108.8,113.0,110.7,108.7,109.5,104.8,99.4
California,90.1,82.4,77.8,68.7,67.5,63.4,58.6,56.4,54.5,53.8,52.3,47.2,41.6
Colorado,94.6,88.8,87.4,90.2,88.3,88.6,89.1,85.4,83.1,81.3,81.2,79.6,73.0
Connecticut,104.8,100.6,91.5,86.7,83.6,79.1,76.6,79.3,76.0,75.9,75.5,73.4,71.4
Delaware,137.1,131.7,127.2,118.8,120.0,123.8,126.1,127.2,128.3,124.1,132.8,139.5,140.7
Georgia,124.1,117.1,113.8,109.6,109.2,109.2,107.8,100.3,102.7,100.6,100.5,97.1,88.1
Idaho,84.5,78.4,90.1,85.4,85.1,86.7,93.0,78.2,73.6,75.0,78.9,75.1,66.9
Illinois,107.6,104.6,94.1,96.1,94.8,94.6,85.7,84.3,81.8,79.6,80.3,72.2,70.0
Indiana,134.0,132.5,128.3,127.2,128.2,126.8,128.2,135.4,135.1,135.3,135.9,133.3,125.5
Iowa,100.2,94.4,95.4,97.1,95.2,92.5,93.4,93.0,94.0,93.9,94.0,91.7,88.9
Kansas,103.2,96.5,94.3,91.8,90.0,89.9,89.1,90.1,88.7,89.2,87.6,83.3,79.8
Kentucky,173.2,171.6,182.5,170.8,167.6,167.6,170.2,175.3,179.0,186.8,171.3,165.3,156.2
Louisiana,110.9,103.6,101.5,107.2,108.5,106.2,105.3,105.7,106.8,105.3,103.2,101.0,104.3
Maine,125.0,122.4,117.5,116.1,114.7,108.5,101.6,102.3,100.0,101.1,94.5,85.5,82.9
Minnesota,94.1,92.3,90.7,86.2,83.8,81.6,83.4,84.1,81.7,84.1,83.2,80.7,76.0
Mississippi,109.0,108.3,101.8,105.6,103.9,105.4,106.0,107.5,106.9,106.3,107.0,103.9,97.2
Missouri,127.4,122.8,119.1,119.9,122.3,121.6,119.4,124.0,124.1,120.6,120.1,118.0,113.8
Montana,87.1,86.2,84.7,82.9,86.6,86.0,88.2,90.5,87.3,88.9,89.1,82.6,75.5
Nebraska,92.9,93.8,89.9,92.4,90.6,91.1,85.9,88.5,86.2,85.5,79.7,86.8,77.6
Nevada,141.9,137.9,137.3,115.5,110.0,108.1,105.2,100.9,99.0,95.6,102.4,103.9,93.2
New Hampshire,180.4,172.9,152.4,144.8,143.7,148.9,153.8,158.5,158.0,174.4,173.8,171.7,147.3
New Mexico,77.7,74.4,70.8,69.9,71.4,69.0,68.2,67.0,65.7,61.8,62.6,59.7,53.8
North Carolina,146.0,139.3,133.7,132.7,128.8,129.7,112.7,124.9,129.7,125.6,126.0,113.1,109.0
North Dakota,87.1,84.1,77.1,85.2,74.4,83.0,81.0,80.6,80.8,77.5,79.1,74.7,72.5
Ohio,122.4,118.6,115.5,113.2,112.3,108.9,108.6,111.7,107.6,108.6,106.4,104.0,99.9
Oklahoma,103.6,97.5,88.4,87.8,86.3,86.2,104.8,109.5,110.8,111.8,112.2,111.4,108.9
Pennsylvania,107.6,107.1,101.3,102.5,96.2,94.7,95.4,95.4,93.3,92.9,92.1,91.1,87.9
Rhode Island,138.0,120.8,101.4,103.6,100.1,94.1,91.9,90.8,87.5,90.0,88.7,86.9,83.1
South Carolina,124.4,122.4,118.6,121.5,112.9,115.2,112.2,109.2,102.9,124.5,126.9,109.4,103.9
South Dakota,91.9,87.4,88.3,91.8,93.0,91.6,94.8,98.6,92.3,88.8,88.3,83.5,75.1
Tennessee,125.3,124.7,121.8,120.6,121.0,120.8,118.8,125.4,119.2,118.9,119.7,115.8,108.7
Texas,96.5,94.5,85.6,79.6,77.2,81.3,78.8,75.2,74.6,72.6,73.2,67.8,69.3
Utah,55.0,57.0,53.4,53.5,55.0,56.2,55.8,52.0,54.0,57.0,42.3,43.9,40.7
Vermont,128.7,120.9,124.3,120.9,126.5,117.2,120.3,123.2,102.5,97.7,97.0,94.1,88.9
Virginia,129.5,122.5,118.9,109.1,108.2,105.4,106.2,106.7,104.6,108.0,105.6,102.1,96.7
West Virginia,109.1,104.0,104.1,100.1,98.0,111.0,104.2,115.8,112.7,114.5,114.6,112.4,107.9
Wisconsin,102.6,100.3,94.1,95.5,96.2,91.2,91.8,93.5,92.1,91.9,88.7,84.4,80.1
Wyoming,114.3,111.4,96.9,109.1,110.8,108.4,111.2,115.0,110.3,108.8,102.9,104.8,90.5
