unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Alabama,89.8,95.4,101.1,102.9,108.2,111.7,116.2,117.1,123.0,121.4,123.2,119.6,119.1,116.3,113.0,114.5,116.3,114.0
Arkansas,100.3,104.1,103.9,108.0,109.7,114.8,119.1,122.6,127.3,126.5,131.8,128.7,127.4,128.0,123.1,125.8,126.0,122.3
California,123.0,121.0,123.5,124.4,126.7,127.1,128.0,126.4,126.1,121.9,120.2,118.6,115.4,110.8,104.8,102.8,99.7,97.5
Colorado,124.8,125.5,134.3,137.9,132.8,131.0,134.2,132.0,129.2,131.5,131.0,133.8,130.5,125.3,119.7,112.4,109.9,102.4
Connecticut,120.0,117.6,110.8,109.3,112.4,110.2,113.4,117.3,117.5,117.4,118.0,116.4,114.7,114.1,112.5,111.0,108.5,109.0
Delaware,155.0,161.1,156.3,154.7,151.3,147.6,153.0,153.3,155.5,150.2,150.5,152.6,154.1,149.6,144.0,144.5,142.4,141.0
Georgia,109.9,115.7,117.0,119.8,123.7,122.9,125.9,127.9,130.6,131.0,134.0,131.7,131.2,128.6,126.3,128.8,129.0,129.3
Idaho,102.4,108.5,126.1,121.8,125.6,123.3,125.1,125.0,122.8,117.5,115.2,114.1,111.5,111.3,103.6,100.7,96.7,95.0
Illinois,124.8,125.6,126.6,124.4,131.9,131.8,134.4,134.0,136.7,135.3,135.2,133.0,130.7,127.9,124.0,121.6,118.2,109.5
Indiana,134.6,139.3,149.2,156.0,159.6,162.4,166.6,173.0,150.9,148.9,146.9,148.5,147.7,143.0,137.8,135.3,137.6,134.0
Iowa,108.5,108.4,109.4,110.6,116.1,120.5,124.4,125.5,127.1,124.2,124.6,132.9,116.2,115.6,111.2,109.4,104.1,101.1
Kansas,114.0,102.8,111.0,115.2,118.6,123.4,127.7,127.9,127.1,126.4,127.1,132.0,130.9,127.6,121.7,115.7,109.4,105.2
Kentucky,155.8,163.5,179.4,201.9,212.4,223.0,230.9,229.4,224.7,214.9,215.3,209.7,210.6,201.1,183.2,182.4,179.8,171.2
Louisiana,115.9,119.8,125.3,126.7,129.9,133.6,139.6,140.0,142.7,140.1,143.8,144.0,143.9,133.7,128.9,125.0,121.2,116.5
Maine,128.5,133.2,136.5,138.0,142.1,140.7,144.9,145.6,143.9,138.5,141.2,138.9,139.5,135.4,135.5,127.9,119.0,125.0
Minnesota,104.3,116.4,96.8,106.8,110.6,111.5,116.7,117.2,118.9,118.3,117.7,120.8,119.4,113.2,110.8,113.0,104.8,108.8
Mississippi,93.4,105.4,112.1,115.0,117.1,116.8,120.9,122.1,124.9,123.9,127.0,125.3,125.8,122.3,116.4,115.3,113.2,110.0
Missouri,121.3,127.6,130.0,132.1,135.4,135.6,139.5,140.8,141.8,140.2,142.1,140.5,139.7,134.1,130.0,129.2,128.8,128.7
Montana,111.2,115.6,122.2,119.9,121.9,123.7,124.9,127.0,127.2,120.3,122.0,121.1,122.4,113.7,110.1,103.6,97.8,91.7
Nebraska,108.1,108.6,104.9,106.6,110.5,114.1,118.1,117.7,117.4,116.1,116.3,117.0,117.1,110.8,107.7,105.1,103.1,101.3
Nevada,189.5,190.5,198.6,201.5,204.7,205.2,201.4,190.8,187.0,183.3,177.7,171.9,165.1,159.2,136.6,146.7,142.6,147.7
New Hampshire,265.7,278.0,296.2,279.0,269.8,269.1,290.5,278.8,269.6,254.6,247.8,245.4,239.8,232.9,215.1,201.1,195.9,195.1
New Mexico,90.0,92.6,99.3,98.9,100.3,103.1,102.4,102.4,103.1,101.0,102.7,103.0,97.5,96.3,88.9,88.0,88.2,82.3
North Carolina,172.4,187.6,214.1,226.5,227.3,226.0,230.2,217.0,205.5,197.3,187.8,179.3,179.0,169.7,160.6,156.3,154.4,150.5
North Dakota,93.8,98.5,103.8,108.7,110.5,117.9,125.4,122.2,121.9,121.3,123.7,125.7,126.8,119.6,109.4,103.2,99.8,92.3
Ohio,121.6,124.6,124.4,120.5,122.1,122.5,124.6,127.3,131.3,130.9,133.5,132.8,134.0,130.0,127.1,126.7,126.3,124.6
Oklahoma,108.4,115.4,121.7,124.1,130.5,132.9,138.6,140.4,143.6,141.6,141.6,143.7,147.0,140.0,128.1,124.2,119.9,113.1
Pennsylvania,107.3,106.3,109.0,110.7,114.2,114.6,118.8,120.1,122.3,122.6,124.0,125.2,123.3,125.3,115.3,115.8,113.9,110.6
Rhode Island,123.9,123.2,134.4,142.0,146.1,154.7,150.2,148.8,146.8,145.8,149.3,151.2,146.3,135.8,136.9,133.4,136.3,124.4
South Carolina,103.6,115.0,118.7,125.5,129.7,130.5,136.8,137.2,140.4,135.7,138.3,136.1,136.0,131.1,127.0,125.4,126.6,126.6
South Dakota,92.7,96.7,103.0,103.5,108.4,113.5,116.7,115.6,116.9,117.4,114.7,115.7,113.0,109.8,105.7,104.4,97.0,95.8
Tennessee,99.8,106.3,111.5,109.7,114.8,117.4,121.7,124.6,127.3,127.2,130.4,129.1,131.4,129.0,125.1,128.7,107.9,130.6
Texas,106.4,108.9,108.6,110.4,114.7,116.0,121.4,124.2,126.6,126.4,129.7,129.0,131.2,126.4,117.2,115.9,113.7,105.8
Utah,65.5,67.7,71.3,72.7,75.6,75.8,77.9,78.9,79.6,79.1,74.8,77.6,73.6,69.0,66.3,66.5,64.4,67.7
Vermont,122.6,124.4,138.0,146.8,151.8,155.5,171.1,169.4,162.4,160.9,161.6,163.8,162.3,153.8,144.3,144.5,131.2,128.3
Virginia,124.3,128.4,137.0,143.1,149.6,152.7,158.1,157.7,155.9,151.8,148.9,149.9,147.4,144.7,136.8,134.6,135.8,133.0
West Virginia,114.5,111.5,117.5,116.6,119.9,123.2,129.7,133.9,131.6,122.1,122.3,120.5,119.8,115.7,111.9,109.1,112.1,107.5
Wisconsin,106.4,105.4,108.8,109.5,111.8,113.5,115.4,117.2,116.7,117.1,117.6,119.9,115.6,106.3,105.6,107.0,105.4,106.0
Wyoming,132.2,131.7,140.0,141.2,145.8,160.7,161.5,160.4,160.3,168.6,158.1,163.1,157.7,141.2,128.9,125.7,124.8,110.4
